id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
79,"delete students with id=1, id=2 and id=3",DELETE,student,{},{},0,ORIGINAL
80,get students with id <4,READ,student,{},"{""id"": ""4""}",1,ORIGINAL
81,get all students with name 'rodrigo',READ,student,{},"{""name"": ""Rodrigo""}",1,ORIGINAL
82,"i want to change the name of a student with name 'rodrigo'. now, i want to set his name as 'rodrigo freitas'",UPDATE,student,"{""name"": ""Rodrigo Freitas""}","{""name"": ""Rodrigo""}",2,ORIGINAL
83,delete 'update' from all students,DELETE,student,{},{},0,ORIGINAL
84,get all students that starts with 'r',READ,student,{},{},0,ORIGINAL
85,"add film with name ""love, rosie"" and genre ""romance""",ADD,film,"{""name"": ""love, Rosie"", ""genre"": ""romance""}",{},2,ORIGINAL
86,show me the section film,READ,section_film,{},{},0,ORIGINAL
87,show me film,READ,film,{},{},0,ORIGINAL
88,"add film ""batman (2022)"" with genre=action",ADD,film,"{""genre"": ""action""}",{},1,ORIGINAL
89,"add film with name ""batman (2022)"" and genre=action",ADD,film,"{""name"": ""Batman (2022)"", ""genre"": ""action""}",{},2,ORIGINAL
90,"add a film with name ""avatar (2022)"" and genre=action, and another film with name=crepúsculo and genre ""drama""",ADD,film,"{""name"": ""Avatar (2022)"", ""genre"": ""action""}",{},2,ORIGINAL
91,"add a film with name ""avatar (2022)"" and genre=action",ADD,film,"{""name"": ""Avatar (2022)"", ""genre"": ""action""}",{},2,ORIGINAL
92,"now add film with name=crepúsculo and genre ""drama""",ADD,film,"{""name"": ""Crepusculo"", ""genre"": ""Drama""}",{},2,ORIGINAL
93,"add film with name=crepúsculo and genre ""drama""",ADD,film,"{""name"": ""Crepusculo"", ""genre"": ""Drama""}",{},2,ORIGINAL
94,"add film with name='crepúsculo' and genre ""drama""",ADD,film,"{""name"": ""Crepusculo"", ""genre"": ""Drama""}",{},2,ORIGINAL
95,"add film film with name='crepúsculo' and genre=""drama""",ADD,film,"{""name"": ""Crepusculo"", ""genre"": ""Drama""}",{},2,ORIGINAL
96,"add film with name='crepúsculo' and genre=""drama""",ADD,film,"{""name"": ""Crepusculo"", ""genre"": ""Drama""}",{},2,ORIGINAL
97,"add film with name ""crepúsculo"" and genre=drama",ADD,film,"{""name"": ""Crepusculo"", ""genre"": ""Drama""}",{},2,ORIGINAL
98,"add film with name ""crepusculo"" and genre=drama",ADD,film,"{""name"": ""Crepusculo"", ""genre"": ""Drama""}",{},2,ORIGINAL
99,show me film where action is the genre,READ,film,{},"{""genre"": ""action""}",1,ORIGINAL
100,show me film where genre = action,READ,film,{},"{""genre"": ""action""}",1,ORIGINAL
101,add a student with name=anderson,ADD,student,"{""name"": ""anderson""}",{},1,ORIGINAL
102,add a teacher with name equal to 'italo roger',ADD,teacher,"{""name"": ""Italo Roger""}",{},1,ORIGINAL
103,get all teachers,READ,teacher,{},{},0,ORIGINAL
104,get teachers,READ,teacher,{},{},0,ORIGINAL
105,give me all students,READ,student,{},{},0,ORIGINAL
106,add a former teacher with name = anderson,ADD,former_teacher,"{""name"": ""Anderson""}",{},1,ORIGINAL
107,add a former student with name = roger,ADD,former_student,"{""name"": ""Roger""}",{},1,ORIGINAL
108,"add a article with title=’dome: an experiment', abstract=’this
is a cool experiment’, keywords=’dome, ai, machine learning, self-drive systems, python’, data=’2023’, first author=’anderson
martins gomes’, co-author=’paulo henrique maia’, second author= ‘marina alves costa gomes’",ADD,article,"{""title"": ""DoME: an experiment"", ""abstract"":""this is a cool experiment"", ""keywords"": ""dome, ai, machine learning, self-drive systems, python"", ""date"":""2023"",""first_author"": ""anderson martins gomes"", ""co_author"": ""paulo henrique maia"", ""second_author"": ""marina alves costa gomes""}",{},7,ORIGINAL
109,add a movie with name=final fantasy,ADD,film,"{""name"": ""Final Fantasy""}",{},1,ORIGINAL
110,get movies,READ,film,{},{},0,ORIGINAL
111,get filmes where id=3,READ,film,{},"{""id"": ""3""}",1,ORIGINAL
112,get films,READ,film,{},{},0,ORIGINAL
113,"update film with id=6, setting year to 2023",UPDATE,film,"{""year"": ""2023""}","{""id"": ""6""}",2,ORIGINAL
114,add film with title=et,ADD,film,"{""title"": ""ET""}",{},1,ORIGINAL
115,add student with name='anderson',ADD,student,"{""name"": ""anderson""}",{},1,ORIGINAL
116,get all films,READ,film,{},{},0,ORIGINAL
117,add a student with age=43,ADD,student,"{""age"": ""43""}",{},1,ORIGINAL
118,get student with name=julio,READ,student,{},"{""name"": ""Julio""}",1,ORIGINAL
119,get student with name=anderson,READ,student,{},"{""name"": ""Anderson""}",1,ORIGINAL
120,add student with name=julio,ADD,student,"{""name"": ""Julio""}",{},1,ORIGINAL
121,list student,READ,student,{},{},0,ORIGINAL
122,add course with name='computer engineering',ADD,course,"{""name"": ""Computer Engineering""}",{},1,ORIGINAL
123,list all entities,READ,entities,{},{},0,ORIGINAL
124,get courses,READ,course,{},{},0,ORIGINAL
125,show course,READ,course,{},{},0,ORIGINAL
126,get the class with name=student,READ,student,{},"{""class"": ""student""}",1,ORIGINAL
127,add student with name=abcd,ADD,student,"{""name"": ""abcd""}",{},1,ORIGINAL
128,add student with name=abcdef,ADD,student,"{""name"": ""abcdef""}",{},1,ORIGINAL
129,"add student with name='maria', phone=123456",ADD,student,"{""name"": ""maria"", ""phone"": ""123456""}",{},2,ORIGINAL
130,add register with email=andersonmg@gmail.com,ADD,,{},{},0,ORIGINAL
131,add student with name joseph,ADD,student,"{""name"": ""Joseph""}",{},1,ORIGINAL
132,update student age=40 when id= 4,UPDATE,student,"{""age"": ""40""}","{""id"": ""4""}",2,ORIGINAL
133,"add an article with title='dome: a reference architecture, publish year = 2023",ADD,article,"{""title"": ""DoME: A Reference Architecture"", ""publish_year"":""2023""}",{},2,ORIGINAL
134,"add an article with title='dome: a reference architecture', and the publish year = 2023",ADD,article,"{""title"": ""DoME: A Reference Architecture"", ""publish_year"":""2023""}",{},2,ORIGINAL
135,"add an article with title='dome: a reference architecture', and year = 2023",ADD,article,"{""title"": ""DoME: A Reference Architecture"", ""year"": ""2023""}",{},2,ORIGINAL
136,get all articles,READ,article,{},{},0,ORIGINAL
137,"add article with title='another article', and author='charles bronson'",ADD,article,"{""title"": ""Another Article"", ""author"": ""Charles Bronson""}",{},2,ORIGINAL
138,show me all articles,READ,article,{},{},0,ORIGINAL
139,"update the article with id=1, setting the author='madona'",UPDATE,article,"{""author"": ""Madona""}","{""id"": ""1""}",2,ORIGINAL
140,i want you to show me all articles,READ,article,{},{},0,ORIGINAL
141,"add a new article with title ""experimental demonstration of shor's quantum factoring algorithm using qubits""",ADD,article,"{""title"": ""Experimental demonstration of Shor's quantum factoring algorithm using qubits""}",{},1,ORIGINAL
142,show all articles,READ,article,{},{},0,ORIGINAL
143,"update article with id = 2, but now i want to set title as 'experimental demonstration of shor's quantum factoring algorithm using qubits'",UPDATE,article,"{""title"": ""Experimental demonstration of Shor's quantum factoring algorithm using qubits""}","{""id"": ""2""}",2,ORIGINAL
144,add a new article with title 'quantum machine learning',ADD,article,"{""title"": ""Quantum Machine Learning""}",{},1,ORIGINAL
145,show me articles,READ,article,{},{},0,ORIGINAL
146,"update the article with id 3, but now i want to set its year=2022",UPDATE,article,"{""year"": ""2022""}","{""id"": ""3""}",2,ORIGINAL
147,show articles,READ,article,{},{},0,ORIGINAL
148,add a new article with title='futuro deletado,ADD,article,"{""title"": ""futuro deletado""}",{},1,ORIGINAL
149,delete all articles with title='futuro deletado',DELETE,article,{},"{""title"": ""futuro deletado""}",1,ORIGINAL
150,get blockages,READ,blockages,{},{},0,ORIGINAL
151,"add a blockade with the localization ’222 road, km 13’",ADD,blockade,"{""localization"": ""222 road, km 13""}",{},1,ORIGINAL
152,show me all blockages,READ,blockages,{},{},0,ORIGINAL
153,show me all blockades,READ,blockade,{},{},0,ORIGINAL
154,"add a blockade with the localization ’222 road, km 13’, and type='partial blockade'",ADD,blockade,"{""localization"": ""222 road, km 13"", ""type"": ""partial blockade""}",{},2,ORIGINAL
155,get blockades,READ,blockade,{},{},0,ORIGINAL
156,"add a blockade with the localization ’116 road, km 105’, and type='partial blockade'",ADD,blockade,"{""localization"": ""116 road, km 105"", ""type"": ""partial blockade""}",{},2,ORIGINAL
157,add article with title 'shor's quantum',ADD,article,"{""title"": ""Shor's Quantum""}",{},1,ORIGINAL
158,add a student with name='mariana alves',ADD,student,"{""name"": ""Mariana Alves""}",{},1,ORIGINAL
159,show me all students,READ,student,{},{},0,ORIGINAL
160,show me all aritcles,READ,aritcles,{},{},0,ORIGINAL
161,showme all articles,READ,article,{},"{""showme"": ""all articles""}",1,ORIGINAL
162,add an article with title='cautious adaptation of defiant components',ADD,article,"{""title"": ""Cautious Adaptation of Defiant Components""}",{},1,ORIGINAL
163,"update the article with id=6, setting the year=2019",UPDATE,article,"{""year"": ""2019""}","{""id"": ""6""}",2,ORIGINAL
164,retrieve articles,READ,article,{},{},0,ORIGINAL
165,view articles,READ,article,{},{},0,ORIGINAL
166,present me the list of articles,READ,article,{},"{""list"": ""articles""}",1,ORIGINAL
167,delete all articles with year=2019,DELETE,article,{},"{""year"": ""2019""}",1,ORIGINAL
168,"please, add a pokemon with name=""pikachu""",ADD,pokemon,"{""name"": ""Pikachu""}",{},1,ORIGINAL
169,get pokemon,READ,pokemon,{},{},0,ORIGINAL
170,"update the pokemon with name ""pikachu"" and set its type=""electric""",UPDATE,pokemon,"{""type"": ""Electric""}","{""name"": ""pikachu""}",2,ORIGINAL
171,"update a pokemon with name=""pikachu"" by adding ""evolve_to""=""raichu""",UPDATE,pokemon,"{""evolve_to"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
172,"update a pokemon with name=""pikachu"" by setting ""evolve_to""=""raichu""",UPDATE,pokemon,"{""evolve_to"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
173,"update the pokemon with name=""pikachu"", setting ""evolve_to""=""raichu""",UPDATE,pokemon,"{""evolve_to"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
174,"update a pokemon with name=""pikachu"" by setting evolve_to=""raichu""",UPDATE,pokemon,"{""evolve_to"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
175,"update the pokemon with name=""pikachu"", setting evolve_to=""raichu""",UPDATE,pokemon,"{""evolve_to"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
176,"update the pokemon with name=""pikachu"", setting evolveto=""raichu""",UPDATE,pokemon,"{""evolve_to"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
177,"update the pokemon with name ""pikachu"", setting evolve_to=""raichu""",UPDATE,pokemon,"{""evolve_to"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
178,"update the pokemon with name ""pikachu"", setting evolveto=""raichu""",UPDATE,pokemon,"{""evolve_to"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
179,"update the pokemon with name=""pikachu"", setting the evolveto=""raichu""",UPDATE,pokemon,"{""evolveto"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
180,"update the pokemon with id=1, setting the evolveto=""raichu""",UPDATE,pokemon,"{""evolveto"": ""Raichu""}","{""id"": ""1""}",2,ORIGINAL
181,"update the pokemon with name=""pikachu"", setting the evolution=""raichu""",UPDATE,pokemon,"{""evolution"": ""Raichu""}","{""name"": ""Pikachu""}",2,ORIGINAL
182,"get pokemon with name=""pikachu""",READ,pokemon,{},"{""name"": ""Pikachu""}",1,ORIGINAL
183,get pokemon with name pikachu,READ,pokemon,{},"{""name"": ""Pikachu""}",1,ORIGINAL
184,"add a pokemon with name=""eevee"" and type=""normal""",ADD,pokemon,"{""name"": ""Eevee"", ""type"": ""Normal""}",{},2,ORIGINAL
185,view pokemon,READ,pokemon,{},{},0,ORIGINAL
186,show me all pokemon,READ,pokemon,{},{},0,ORIGINAL
187,"delete the pokemon with name=""eevee""",DELETE,pokemon,{},"{""name"": ""Eevee""}",1,ORIGINAL
188,get pokemons,READ,pokemon,{},{},0,ORIGINAL
189,show me all article,READ,article,{},{},0,ORIGINAL
190,"add an article with title ""dragonfly""",ADD,article,"{""title"": ""Dragonfly""}",{},1,ORIGINAL
191,"update the article with id=7, setting the year=2020.",UPDATE,article,"{""year"": ""2020""}","{""id"": ""7""}",2,ORIGINAL
192,"update the article with id=7, setting the year1=2020",UPDATE,article,"{""year1"": ""2020""}","{""id"": ""7""}",2,ORIGINAL
193,delete all articles with year=2020,DELETE,article,{},"{""year"": ""2020""}",1,ORIGINAL
194,"i would like to add an article named ""advances in natural language processing"" and author=julia hirschberg and christopher d. manning",ADD,article,"{""name"": ""advances in natural language processing"", ""author"": ""JULIA HIRSCHBERG and CHRISTOPHER D. MANNING""}",{},2,ORIGINAL
195,"add article named ""advances in natural language processing"" and author=julia hirschberg and christopher d. manning",ADD,article,"{""name"": ""advances in natural language processing"", ""author"": ""JULIA HIRSCHBERG and CHRISTOPHER D. MANNING""}",{},2,ORIGINAL
196,"i would like to add an article with name ""advances in natural language processing"" and author=julia hirschberg and co-author= christopher d. manning",ADD,article,"{""name"": ""Advances in natural language processing"", ""author"": ""JULIA HIRSCHBERG"", ""co_author"": ""CHRISTOPHER D. MANNING""}",{},3,ORIGINAL
197,"add article with name ""advances in natural language processing"" and author=julia hirschberg and co-author= christopher d. manning",ADD,article,"{""name"": ""Advances in natural language processing"", ""author"": ""JULIA HIRSCHBERG"", ""co_author"": ""CHRISTOPHER D. MANNING""}",{},3,ORIGINAL
198,"add an article with name ""advances in natural language processing"", author=julia hirschberg, co-author= christopher d. manning",ADD,article,"{""name"": ""Advances in natural language processing"", ""author"": ""JULIA HIRSCHBERG"", ""co_author"": ""CHRISTOPHER D. MANNING""}",{},3,ORIGINAL
199,"add article with name ""advances in natural language processing"", author=julia hirschberg, co-author= christopher d. manning",ADD,article,"{""name"": ""Advances in natural language processing"", ""author"": ""JULIA HIRSCHBERG"", ""co_author"": ""CHRISTOPHER D. MANNING""}",{},3,ORIGINAL
200,show me all authors,READ,authors,{},{},0,ORIGINAL
201,add an article with title='dome: a reference architecture',ADD,article,"{""title"": ""DoME: A Reference Architecture""}",{},1,ORIGINAL
202,show me article,READ,article,{},{},0,ORIGINAL
203,update the article with id=8 setting the year=2015,UPDATE,article,"{""year"": ""2015""}","{""id"": ""8""}",2,ORIGINAL
204,"update the article with id=8 setting name="""" and title=""advances in natural language processing""",UPDATE,article,"{""name"": """", ""title"": ""Advances in natural language processing""}",{},2,ORIGINAL
205,"update the article with id=8 setting title=""advances in natural language processing""",UPDATE,article,"{""title"": ""Advances in natural language processing""}","{""id"": ""8""}",2,ORIGINAL
206,show me articles with year=2015,READ,article,{},"{""year"": ""2015""}",1,ORIGINAL
207,"update the article with id=8 setting the title=""advances in natural language processing""",UPDATE,article,"{""title"": ""Advances in natural language processing""}","{""id"": ""8""}",2,ORIGINAL
208,show me articles where yaer=2015,READ,article,{},{},0,ORIGINAL
209,show me articles where year=2015,READ,article,{},"{""year"": ""2015""}",1,ORIGINAL
210,delete the attribute name  from article,DELETE,attribute,{},"{""attribute"": ""name""}",1,ORIGINAL
211,delete name from article,DELETE,article,{},"{""name"": ""article""}",1,ORIGINAL
212,"update the article with id=8 setting the name=""""",UPDATE,article,"{""name"": """"}","{""id"": ""8""}",2,ORIGINAL
213,"update the article with id=8 setting the name="" """,UPDATE,article,"{""name"": "" ""}","{""id"": ""8""}",2,ORIGINAL
214,"update the article with id=8 setting the name=a""""",UPDATE,article,"{""name"": ""a""}","{""id"": ""8""}",2,ORIGINAL
215,update the article with id=8 setting the name=null,UPDATE,article,"{""name"": ""null""}","{""id"": ""8""}",2,ORIGINAL
216,update the article with id=8 deleting the name,UPDATE,article,"{""name"": """"}","{""id"": ""8""}",2,ORIGINAL
217,delete the article with id=9,DELETE,article,{},"{""id"": ""9""}",1,ORIGINAL
218,"add a article with name ""experimental framework to simulate rescue operations after a natural disaster"" and keywords= experimental framework, simulation, benchmark",ADD,article,"{""name"": ""Experimental Framework to Simulate Rescue Operations after a Natural Disaster"", ""keywords"": ""Experimental framework, Simulation, Benchmark""}",{},2,ORIGINAL
219,"update the article with name ""experimental framework, simulation, benchmark"" setting year=2020",UPDATE,article,"{""year"": ""2020""}","{""name"": ""Experimental framework, Simulation, Benchmark""}",2,ORIGINAL
220,"update the article with name ""experimental framework to simulate rescue operations after a natural disaster"" setting year=2020",UPDATE,article,"{""year"": ""2020""}","{""name"": ""Experimental framework to simulate rescue operations after a natural disaster""}",2,ORIGINAL
221,"update the article with name=""experimental framework to simulate rescue operations after a natural disaster"" setting year=2020",UPDATE,article,"{""year"": ""2020""}","{""name"": ""Experimental framework to simulate rescue operations after a natural disaster""}",2,ORIGINAL
222,update the article with name=experimental framework to simulate rescue operations after a natural disaster setting the year=2020,UPDATE,article,"{""year"": ""2020""}","{""name"": ""Experimental framework to simulate rescue operations after a natural disaster""}",2,ORIGINAL
223,"update the article with keywords ""experimental framework, simulation, benchmark"" setting the year=2020",UPDATE,article,"{""year"": ""2020""}","{""keywords"": ""Experimental framework, Simulation, Benchmark""}",2,ORIGINAL
224,show me articles where year > 2013,READ,article,{},"{""year"": ""2013""}",1,ORIGINAL
225,show me articles where year != 2015,READ,article,{},"{""year"": ""2015""}",1,ORIGINAL
226,show articles with id > 6,READ,article,{},"{""id"": ""6""}",1,ORIGINAL
227,show me articles with id=9,READ,article,{},"{""id"": ""9""}",1,ORIGINAL
228,show me article where id > 6,READ,article,{},"{""id"": ""6""}",1,ORIGINAL
229,show me article where id = 6,READ,article,{},"{""id"": ""6""}",1,ORIGINAL
230,show me article where id=9,READ,article,{},"{""id"": ""9""}",1,ORIGINAL
231,show me article where id=10,READ,article,{},"{""id"": ""10""}",1,ORIGINAL
232,add city with name=fortaleza and state=ceará,ADD,city,"{""name"": ""Fortaleza"", ""state"": ""Ceará""}",{},2,ORIGINAL
233,"add city with name=berlin, country=germany, population=3.645 million",ADD,city,"{""name"": ""Berlin"", ""country"": ""Germany"", ""population"": ""3.645 million""}",{},3,ORIGINAL
234,show me city,READ,city,{},{},0,ORIGINAL
235,delete all cities,DELETE,city,{},{},0,ORIGINAL
236,delete city where id=1 and id=2,DELETE,city,{},"{""id"": ""1""}",1,ORIGINAL
237,delete city where id-2,DELETE,city,{},{},0,ORIGINAL
238,delete city where id=2,DELETE,city,{},"{""id"": ""2""}",1,ORIGINAL
239,add city with name= teste and number=1,ADD,city,"{""name"": ""teste"", ""number"": ""1""}",{},2,ORIGINAL
240,add city with name= teste and number=2,ADD,city,"{""name"": ""teste"", ""number"": ""2""}",{},2,ORIGINAL
241,delete city where name=teste,DELETE,city,{},"{""name"": ""teste""}",1,ORIGINAL
242,"delete city where name=""teste""",DELETE,city,{},"{""name"": ""teste""}",1,ORIGINAL
243,delete city where number=1,DELETE,city,{},"{""number"": ""1""}",1,ORIGINAL
244,delete all city with name=teste,DELETE,city,{},"{""name"": ""teste""}",1,ORIGINAL
245,"delete all city with name=""teste""",DELETE,city,{},"{""name"": ""teste""}",1,ORIGINAL
246,delete all city where number=1,DELETE,city,{},"{""number"": ""1""}",1,ORIGINAL
247,delete city where id=4,DELETE,city,{},"{""id"": ""4""}",1,ORIGINAL
